Encounter ,ENCOUNTER #,DATE,MONTH,PERIOD,TIME,HUMAN DETECTOR ,RESEARCH TEAM,GROUP ID,"LOCATION METHOD (AUD, VIS)","VEG. DENSITY (O, D)",END TIME,DURATION ,DURATION (MIN) ,Max-min Dist. (m) ,"ENCOUNTER TYPE          (IG,MO,FL,TH,AV)"
1,KB22701,7/22/2014,JUL,1,2:51,HE,"KT,ER,HE",B,AUD,O,5:23,2:32,152,40,IG
2,KB30701,7/30/2014,JUL,1,3:06,PH,"KT,PH",B,WH,O,4:50,1:44,104,2,CA
3,KB2801,8/2/2014,AUG,1,7:10,ER,"KT,ER,PH",B,VIS,O,11:55,4:45,285,2,IG
4,KB8801,8/8/2014,AUG,1,7:08,PH,"KT,PH,AA,LA,JK",B,WH,D,11:37,4:29,269,2,CA
5,KB15801,8/15/2014,AUG,1,8:20,PH,"KT,PH,LA",B,VIS,D,9:08,0:48,48,11,IG
6,KB15802,8/15/2014,AUG,1,10:05,PH,"KT,PH,LA",B,AUD,D,12:07,2:02,122,2,IG
7,KB30801,8/30/2014,AUG,2,8:24,HE,"KT,HE",B,AUD,O,11:57,3:33,213,2,IG
8,KB6901,9/6/2014,SEPT,2,7:19,KT,"KT,HE,AZ",B,VIS,O,10:19,3:00,180,2,IG
9,KB13901,9/13/2014,SEPT,2,8:08,HE,"KT,HE",B,AUD ,O,9:58,1:50,110,5,IG
10,KB19901,9/19/2014,SEPT,2,6:24,AA,"KT,PH,AA,LA,JK",B,VIS,O,12:00,5:36,336,2,IG
11,KB26901,9/26/2014,SEPT,3,12:16,PH,"KT,PH,AA,LA,JK",B,VIS,O,17:50,5:34,334,2,IG
12,KB11001,10/1/2014,OCT,3,6:56,KT,"KT,PH,AA,LA,JK",B,VIS,D,11:52,4:56,296,2,IG
13,KB151001,10/15/2014,OCT,3,7:10,HE,"KT,HE",B,AUD ,D,9:44,2:34,154,11,IG
14,KB171001,10/17/2014,OCT,3,6:51,PH,"KT,AA,LA,PH",B,AUD ,D,11:58,5:07,307,2,IG
15,KB241001,10/24/2014,OCT,4,6:35,PH,"KT,PH,AA,LA,JK",B,AUD ,D,11:44,5:09,309,2,IG
16,KB51101,11/5/2014,NOV,4,6:49,KT,"KT,HE",B,VIS,O,9:06,2:17,137,2,IG
17,KB61101,11/6/2014,NOV,4,7:49,KT,"KT,PH",B,VIS,D,8:01,0:12,12,22,IG
18,KB71101,11/7/2014,NOV,4,7:30,PH,"KT,AA,LA,PH,PP",B,VIS,D,8:36,1:06,66,2,IG
19,KB71102,11/7/2014,NOV,4,8:55,PP,"KT,AA,LA,PH,PP",B,AUD ,D,11:27,2:32,152,2,IG
20,KB121101,11/12/2014,NOV,4,7:10,KT,"KT,HE",B,VIS,O,8:40,1:30,90,2,IG
21,KB121102,11/12/2014,NOV,4,9:05,KT,"KT,HE",B,VIS,O,12:11,3:06,186,2,IG
22,KB131101,11/13/2014,NOV,5,6:35,PH,"KT,PH,AA,LA,JK",B,AUD,D,11:25,4:50,290,2,IG
23,KB261101,11/26/2014,NOV,5,9:50,HE,"KT,HE",B,AUD ,D,11:46,1:56,116,5,IG
24,KB161201,12/16/2014,DEC,5,11:43,PH,"KT,PH",B,VIS,O,11:53,0:10,10,14,IG
25,KB221201,12/22/2014,DEC,5,7:38,KT,"KT,ER,HE",B,AUD ,D,8:55,1:17,77,5,IG
26,KB241201,12/24/2014,DEC,5,7:22,KT,"KT,HE",B,VIS ,D,9:17,1:55,115,5,IG
27,KB241202,12/24/2014,DEC,5,9:42,HE,"KT,HE",B,VIS,D,11:39,1:57,117,5,IG
28,KB261201,12/26/2014,DEC,5,7:21,HE,"KT,ER,LA,HE",B,VIS,O,12:13,4:52,292,2,IG
29,KB311201,12/31/2014,DEC,6,7:40,PH,"KT,AA,LA,PAULA,PH,JK",B,VIS,D,9:38,1:58,108,2,IG
30,KB311202,12/31/2014,DEC,6,9:38,PH,"KT,AA,LA,PAULA,PH,JK",B,VIS,O,12:00,2:22,142,2,IG
31,KB7101,1/7/2015,JAN,6,7:15,HE,"KT,HE",B,VIS ,D,10:49,3:34,124,2,IG
32,KB10101,1/10/2015,JAN,6,9:45,HE,"KT,HE",B,AUD ,D,11:41,1:56,116,2,IG
33,KB21101,1/21/2015,JAN,6,8:14,HE,"KT,HE,AA,JK",B,VIS,O,12:02,3:48,228,2,IG
34,KB22101,1/22/2015,JAN,6,9:03,KT,"KT,PH",B,VIS,D,12:10,3:07,187,2,IG
